Reference,Type,Value,Footprint,Quantity, PN, URL, SolderPoints, SolderPointsDIP, Price, Sum, Color,
ANT1 ,,ANT_PCB_MONO_2PIN,Radio:Silmaril,1,,,0,,"0,00",0,,
B1 ,,BAT,Installation:18650x1,1,,,,,,0,,
BLN1 ,,BALUN868JOHANSON,Radio:BALUN_JOHANSON868,1,0896BM15A0001E,https://onelec.ru/products/0896BM15A0001E,6,,"38,73",38,,https://www.terraelectronica.ru/product/602137 47.6
C10 C15 ,Capacitor,18pF,Capacitors:CAP_0603,2,,https://www.terraelectronica.ru/product/1046771,2,,"2,6","5,2",,
C11 C12 C13 C14 C16 C17 C18 C19 C22 C24 C25 C26 C3 C6 C7 ,Capacitor,0.1u,Capacitors:CAP_0603,15,,https://www.terraelectronica.ru/product/1020032,,,"0,6",54,,
C20 ,Capacitor,10n,Capacitors:CAP_0603,1,,https://www.terraelectronica.ru/product/863303,,,"0,2","0,2",,
C2 C23 C8 ,Capacitor,1u,Capacitors:CAP_0603,3,,https://www.terraelectronica.ru/product/573893,,,"0,4","1,2",,
C27 ,Capacitor,100pF,Capacitors:CAP_0402,1,,https://www.terraelectronica.ru/product/367375,2,,"0,53","0,53",,
C28 C30 ,,*,Capacitors:CAP_0402,2,,,2,,"0,50",1,,
C1 C21 C29 C4 C5 C9 ,Capacitor,10u,Capacitors:CAP_0603,6,CL10A106MQ8NNNC,https://www.terraelectronica.ru/product/863288,2,,"5,8","9,6",, 0
D1 ,,LED,LEDs:LED_XPE,1,XPGDWT-01-0000-00ME3,https://onelec.ru/products/XPGDWT-01-0000-00ME3,3,,"66,36",0,White,https://www.terraelectronica.ru/product/2120883 82.0
D2 ,,BAT54WS,Diodes:SOD323,1,,https://www.terraelectronica.ru/catalog_info.php?CODE=182655,2,,"1,80","1,8",,
DA1 ,,ST1CC40_SO8,SO_DIL_TSSOP:SO8_150MIL,1,ST1CC40DR,https://onelec.ru/products/ST1CC40DR,9,,"48,21","70,4",,https://www.terraelectronica.ru/product/1198932 0
DA2 ,,MCP1700,SOT:SOT23-3A,1,MCP1700T-3302E/TT,https://www.terraelectronica.ru/product/166535,3,,"33,70","33,7",, 0
DD1 ,,STM32L151CxTx,LQFP_TQFP:LQFP48,1,stm32L151c8t6,http://,48,,"163,73","163,73",,
DD2 ,,MMA8452Q,QFN_DFN:QFN16_5x3,1,,,,,,0,,
DD3 ,,CC1101,QFN_DFN:QFN20,1,,http://,21,,"140,00",140,,
F1 ,,Fuse0R,PCB:FuseShorted,1,,,1,,"0,00",0,,
L1 ,,2.2uH,Inductors:IND_SRN2512,1,SRN2512-2R2M,https://www.terraelectronica.ru/product/1638190,2,,"10,80",7,,
L2 L3 ,,BLM15AG102SN1,Inductors:IND_0402,2,BLM15AG102SN1,https://www.terraelectronica.ru/product/225140,,,"0,68",0,, 0
L4 ,,*,Inductors:IND_0402,1,,,2,,"4,00",4,,
Logo1 ,,Logo,Pictures:Ostranna_12d7_10d1,1,,,,,,0,,
Q1 ,,MMBT2222,SOT:SOT23-3,1,MMBT2222,,3,,"5,00",5,,
R10 ,Resistor,1k,Resistors:RES_0603,1,,https://www.terraelectronica.ru/product/665350,2,,"0,25","0,25",,
R1 R2 R3 ,Resistor,100k,Resistors:RES_0603,3,,https://www.terraelectronica.ru/product/989453,2,,"0,2","0,6",,
R4 ,Resistor,0R1,Resistors:RES_1206,1,,https://www.terraelectronica.ru/product/1197213,2,,"12,9","12,9",,
R6 ,Resistor,20k,Resistors:RES_0603,1,,https://www.terraelectronica.ru/product/327606,2,,"0,36","0,22",,
R7 R8 ,Resistor,10k,Resistors:RES_0603,2,,https://www.terraelectronica.ru/product/1626933,,,"0,2","0,4",,
R5 R9 ,Resistor,56k,Resistors:RES_0603,2,,https://www.terraelectronica.ru/product/542556,2,,"0,27","0,54",,
SW1 ,,SWITCH,BtnsSwitches:SW_SS9,1,,,5,,"5,00",5,,
SW2 ,,DIPx6,BtnsSwitches:DIP_SMD_1D27X6,1,,,,,,0,,
TP1 TP2 ,,TESTPOINT,PCB:TESTPOINT_1MM,2,,,0,,"0,00",0,,
XL1 ,,CONN_6,Connectors:PLS-6,1,,,,6,,0,,
XL2 ,,CONN_5,Connectors:PLS-5,1,,,,,,0,,
XL3 XL4 ,,CONN_1,PCB:Oval3x1.5,2,,,1,,"0,00",0,,
XTAL1 ,,27MHz,Quartz:03225C4,1,,,4,,"15,00",15,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,"335,53",,